#NAME,1,2,3,4,5,6,7,8,9,10,30,31,32,33,34,50,53,54,55,56,BI003-01,BI003-02,BI003-03,BI003-04,BI003-05,BI003-11,BI003-12,BI003-13,BI003-14,BI003-15,BI003-16,BI003-17,BI003-18,BI003-22,BI003-23,BI003-24,BI003-25,BI003-26
EC:1.1.1.206,0,0,0,15,0,0,9,7,0,134,0,0,16,0,0,5,25,0,0,0,0,0,78,0,0,0,0,0,0,19,138,12,0,0,132,93,78,0
EC:1.1.1.21,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
EC:1.1.1.215,294.62,3419.33,372.32,3990.53,245.75,1172.38,132.05,184.4,45.26,841.95,424.6,323.45,13,158.8,98.47,3701.84,3090.64,6368.49,60.64,32620.31,13351.5,783.25,1145.75,25,82.5,10.5,12,298.25,5.75,8100,24215.92,1209,4068.5,333.62,401,294.5,3025.5,58
EC:1.1.1.219,221,532,1445.5,1117.8,227.16,442,200,961,644.5,830.6,576.8,1941,1257,610,298,281.6,463,688.9,447,102.67,245,2104,2717,156,1326,262,786,989,1237,2427,4181,2000.5,1605,988,1388,308,523,332
EC:1.1.1.22,30588.87,65746.24,70176.83,116383.89,131782.08,48190.96,20241.32,46228.02,26121.71,19904.95,31502.09,47535.98,43881.44,44482.02,35880.82,42831.39,38096.57,67036.33,79977,480167.79,103911.34,106007.41,109026.66,135986.58,108328.41,105071.34,144950.25,91546.91,175601.5,100539.67,98322.07,125946.55,115434.17,66029.12,93212.97,96741.41,84811.92,88188.59
EC:1.1.1.220,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC:1.1.1.23,9651.87,36991.82,61586.13,56644.16,51126.58,40144.05,21305.16,44566.15,24162.41,19258.27,39113.79,62670.61,44518.41,43562.8,43157.55,44719.57,26077.47,51300.74,39627.69,183888.78,68625.68,102581.82,102375.08,45856.75,102655.25,37659.84,56221.59,59212.16,33489.33,104110.83,94664.25,92359.76,114251.74,67842.96,68364.17,48109.82,75649.43,47643
EC:1.1.1.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EC:1.1.1.25,11956.86,49138.32,82922.49,65851.19,54573.33,49090.81,29275.17,65023.35,38350.23,28229.22,48916.89,76864.56,63838.61,62601.35,52185,72883.41,33437.48,82963.13,51882.58,212953.97,105944.85,147590.15,167113.28,95363.92,175968.92,54627.74,76913.59,90996.06,54509.23,136422.5,128921.08,144830.23,178742.07,111133.37,93967.64,77898.32,125707.18,75003.25
EC:1.1.1.251,0,1.25,15.2,12.88,9,0,0,0.4,1.26,3.25,0,0,0,3.25,0,0,70.75,0,0,0,13.5,27.25,11.75,18,76,10.5,12,276.25,5.75,1204.25,1693,876.75,61.25,309.5,356,8.5,39.5,9
